CSUS	26832
CSUK|CSUS	16769|11795
CSUS	33998
CSUS	114392
CSUS	25657
CSUS	32193
CSUS	17153
CSUS	30321
CSUS	144935
CSUS	130379
CSUK	18883
CSUS	637
CSAU	30518
CSUS	17571
CSAU	15647
CSUS	18845
CSUS	24407
CSUS	40431
CSUS	79514
CSAU	31802
CSUK	4071
CSCA	112809
CSUS	37880
CSUS	17839
CSUS	33196
CSUS	145349
CSUS	56546
CSUS	73313
CSUK	24782
CSUS	36208
CSUS	25907
CSUS	147194
CSAU	30716
CSUS	119885
CSUS	22463
CSUS	34230
CSUS	17846
CSUS	64898
CSUS	33730
CSUS	137867
CSUK	33767
CSUS	52301
CSCA	113452
CSUS	138104
CSUS	138128
CSUS	51350
CSUS	11769
CSUS	119297
CSUS	26944
CSUS	83690
CSUS	26940
CSAU	25415
CSUS	84632
CSUS	130514
CSUK	1377
CSUK	15149
CSUK	25946
CSUS	39116
CSUS	121250
CSUS	65345
CSUS	137750
CSUK	20124
CSUS	36115
CSCA	117641
CSUS	38498
CSUS	143477
CSUK	49457
CSUS	3483
CSUS	49409
CSCA	116423
CSUS	27882
CSUS	12233
CSUS	26143
CSUS	77612
CSUS	30807
CSAU	32390
CSUS	80132
CSCA	113709
CSUS	138098
CSUS	130157
CSUS	9769
CSUS	140957
CSUS	25569
CSUS	12356
CSUS	31790
CSAU	29003
CSUS	137021
CSUS	18301
CSCA	112265
CSAU	10140
CSUK	40460
CSUS	37592
CSUS	4563
CSUS	84686
CSAU	26024
CSUK	42632
CSUS	139718
CSCA	110134
CSUS	32826
CSUS	16666
CSUS	3124
CSUS	10009
CSUS	110627
CSUS	10512
CSAU	20735
CSUS	89804
CSUS	37864
CSIN	47582
CSUS	17027
CSUS	35134
CSUK	49346
CSUK|CSFR	11511|14210
CSUK	9705
CSCA	114059
CSAU	14529
CSUS	10474
CSUS	9986
CSUS	130424
CSUK	16827
CSUS	118928
CSUS	4670
CSUS	10586
CSUS	29454
CSUS	112100
CSUS	24961
CSUK	49718
CSUS	25536
CSUS	133139
CSUS	8067
CSUS	77417
CSUS	3488
CSUS	2735
CSUK	5958
CSUS	69503
CSUS	34039
CSUS	7106
CSUS	106520
CSUS	119576
CSUS	25337
CSUK	20627
CSUS	18022
CSUS	26753
CSUS	39898
CSUS	25614
CSUS	36918
CSUS	5807
CSUS	37268
CSUS	88283
CSUS|CSDE|CSFR	33591|18743|25190
CSUS	36331
CSUS	35778
CSUS	89561
CSUS	36580
CSUS	147326
CSUS	7427
CSUS	5903
CSAU	9379
CSCA	110410
CSUS	38225
CSUS	147752
CSUS	37556
CSUS	139730
CSUS	72146
CSUS|CSFR	32369|26228
CSUS	138212
CSUS	141584
CSUS	18061
CSUK	18885
CSUS	136445
CSUS	77657
CSUS	216
CSAU	9791
CSUS	90362
CSUS	81455
CSUS	10846
CSUK	15915
CSUS	4441
CSUS	13262
CSUS	12904
CSUS	81473
CSUK|CSUS	28304|25441
CSCA	110699
CSUS	66920
CSUS	55502
CSUS	17443
CSUS	12209
CSUS	10718
CSUS	39601
CSUS	34948
CSUS	39440
CSUS	120644
CSUK	18852
